username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
RuanoFaxas,#Comunicación #Communication #Lingüística #Linguistics #Filología #Philology  #Imagología #Imagology https://t.co/1jK69Ipkrb,United States of America,151,690,108006,2010-02-16 01:44:50,2020-10-26 23:50:58,0,"@Newsweek ""#Ohio Governor Mike #DeWine @GovMikeDeWine is the third governor reported to be the target of a kidnapping plot this year,joining #Michigan Governor Gretchen #Whitmer @GovWhitmer and #Virginia Governor Ralph #Northam @GovernorVA""#ELECTION #USA #GOP #MAGA #TERRORISM #TRUMP #BIDEN https://t.co/hQsIQRJ8hp","[{'text': 'Ohio', 'indices': [11, 16]}, {'text': 'DeWine', 'indices': [31, 38]}, {'text': 'Michigan', 'indices': [141, 150]}, {'text': 'Whitmer', 'indices': [169, 177]}, {'text': 'Virginia', 'indices': [194, 203]}, {'text': 'Northam', 'indices': [219, 227]}, {'text': 'ELECTION', 'indices': [240, 249]}, {'text': 'USA', 'indices': [250, 254]}, {'text': 'GOP', 'indices': [255, 259]}, {'text': 'MAGA', 'indices': [260, 265]}, {'text': 'TERRORISM', 'indices': [266, 276]}, {'text': 'TRUMP', 'indices': [277, 283]}, {'text': 'BIDEN', 'indices': [284, 290]}]"
GlennEV25468627,,,15,0,206,2020-09-14 14:27:56,2020-10-26 23:50:55,25,“The divide in America is so great that neither #Trump nor #Biden can close it.”—- @minishmael #NOISundays #Election #BlackAgenda,"[{'text': 'Trump', 'indices': [66, 72]}, {'text': 'Biden', 'indices': [77, 83]}, {'text': 'NOISundays', 'indices': [113, 124]}, {'text': 'Election', 'indices': [125, 134]}]"
GlennEV25468627,,,15,0,206,2020-09-14 14:27:56,2020-10-26 23:50:08,24,“Both #Trump and #Biden are liars. One told 500 and the other told 499. Is that your definition of the lesser of two evils?”—- @minishmael #NOISundays #Election #Vote,"[{'text': 'Trump', 'indices': [24, 30]}, {'text': 'Biden', 'indices': [35, 41]}]"
CmdrKoenigMoon,"#Christian #Preacher #Anarchist  #Shaman #Hobo

Jesus: https://t.co/oIvQZwTz94
Podcasts: https://t.co/TNrVBM8Gn6, https://t.co/8zUvekNUvv
Words: https://t.co/MVZU8Qjguq, https://t.co/vQFSCkJdfr
Donate: https://t.co/PTjgnptfpQ","Seattle, Central District",456,1220,35736,2020-02-23 00:24:31,2020-10-26 23:50:08,1,"""There's been several kinds of shit dumped on us this year ...""

#Pandemic #Mask #SocialContract #Biden #Trump #Election #Collapse #TheReset #GovernorInslee #MayorDurkan #Covid19

Youtube: https://t.co/hLF8WZhiCv

MP3: https://t.co/sNfHKTf2kR

Sound Cloud: https://t.co/pruD1kFX6l https://t.co/rULZdv6uZS","[{'text': 'Pandemic', 'indices': [85, 94]}, {'text': 'Mask', 'indices': [95, 100]}, {'text': 'SocialContract', 'indices': [101, 116]}, {'text': 'Biden', 'indices': [117, 123]}, {'text': 'Trump', 'indices': [124, 130]}]"
GlennEV25468627,,,15,0,206,2020-09-14 14:27:56,2020-10-26 23:49:49,24,“In the debate this past Thursday #Trump went hard on #Biden about the 1994 crime bill and he wasn’t wrong. This bill put 10’s of thousands of Black Men behind bars and destroyed thousands of families!”—- @minishmael #NOISundays #Election #Vote #BlackAgenda,"[{'text': 'Trump', 'indices': [52, 58]}, {'text': 'Biden', 'indices': [72, 78]}]"
your15minradio,"500,000 + Listeners and Growing...Providing entrepreneurs, startups, and small business owners the tools necessary to be successful in business listen live.",Global,599,2533,15279,2009-07-15 04:29:33,2020-10-26 23:46:13,0,"The Final Push for The Future of America - Join the conversation on Beyond Words Tuesday, October 27, 2020 6p.m.cst/7p.m.est  https://t.co/fvyKWt02x6  #VoteEarly #VOTE #vote2020 #Independents #3rdParty #Election #TRUMP #BIDEN https://t.co/tMY1VdXhwF","[{'text': 'VoteEarly', 'indices': [151, 161]}, {'text': 'VOTE', 'indices': [162, 167]}, {'text': 'vote2020', 'indices': [168, 177]}, {'text': 'Independents', 'indices': [178, 191]}, {'text': '3rdParty', 'indices': [192, 201]}, {'text': 'Election', 'indices': [202, 211]}, {'text': 'TRUMP', 'indices': [212, 218]}, {'text': 'BIDEN', 'indices': [219, 225]}]"
CmdrKoenigMoon,"#Christian #Preacher #Anarchist  #Shaman #Hobo

Jesus: https://t.co/oIvQZwTz94
Podcasts: https://t.co/TNrVBM8Gn6, https://t.co/8zUvekNUvv
Words: https://t.co/MVZU8Qjguq, https://t.co/vQFSCkJdfr
Donate: https://t.co/PTjgnptfpQ","Seattle, Central District",456,1220,35736,2020-02-23 00:24:31,2020-10-26 23:45:50,1,"""There's been several kinds of shit dumped on us this year ...""

#Pandemic #Mask #SocialContract #Biden #Trump #Election #Collapse #TheReset #GovernorInslee #MayorDurkan #Covid19

Youtube: https://t.co/hLF8WZhiCv

MP3: https://t.co/sNfHKTf2kR

Sound Cloud: https://t.co/pruD1kFX6l https://t.co/rULZdv6uZS","[{'text': 'Pandemic', 'indices': [65, 74]}, {'text': 'Mask', 'indices': [75, 80]}, {'text': 'SocialContract', 'indices': [81, 96]}, {'text': 'Biden', 'indices': [97, 103]}, {'text': 'Trump', 'indices': [104, 110]}, {'text': 'Election', 'indices': [111, 120]}, {'text': 'Collapse', 'indices': [121, 130]}, {'text': 'TheReset', 'indices': [131, 140]}, {'text': 'GovernorInslee', 'indices': [141, 156]}, {'text': 'MayorDurkan', 'indices': [157, 169]}, {'text': 'Covid19', 'indices': [170, 178]}]"
KJJRocks,"EXQUISITE FINE JEWELLERY A beautifully curated collection of modern, vintage and antique fine jewellery.",,0,0,7,2020-09-19 07:41:05,2020-10-26 23:42:06,0,Soothing emeralds - a moment of respite from the hurly burly of Twitter - find us on Instagram - Katherine James Jewellery ✨✨✨ #politicaltwitter #politics #election #USElection #USElection2020 #Trump #biden #news #BREAKING #happyplace #emeralds #diamonds https://t.co/3ZucTXz7Ad,"[{'text': 'politicaltwitter', 'indices': [127, 144]}, {'text': 'politics', 'indices': [145, 154]}, {'text': 'election', 'indices': [155, 164]}, {'text': 'USElection', 'indices': [165, 176]}, {'text': 'USElection2020', 'indices': [177, 192]}, {'text': 'Trump', 'indices': [193, 199]}, {'text': 'biden', 'indices': [200, 206]}, {'text': 'news', 'indices': [207, 212]}, {'text': 'BREAKING', 'indices': [213, 222]}, {'text': 'happyplace', 'indices': [223, 234]}, {'text': 'emeralds', 'indices': [235, 244]}, {'text': 'diamonds', 'indices': [245, 254]}]"
GlennEV25468627,,,15,0,206,2020-09-14 14:27:56,2020-10-26 23:41:44,18,"“I’m not pitching for neither one of these, #Trump nor #Biden. You vote your own self interest. I have my vote. I vote for Christ. I vote for The Messiah!”—- @minishmael #NOISundays #Election #Vote #BlackAgenda","[{'text': 'Trump', 'indices': [62, 68]}, {'text': 'Biden', 'indices': [73, 79]}]"
AukeFeitsma,"Getrouwd, vader van 2 kinderen, Christen",Stiens,507,589,139871,2009-07-29 10:01:21,2020-10-26 23:34:15,2,"Biden Does Not Have The Personality To Win An Election

https://t.co/Is05awjfvy

#Biden #Trump #election #Election2020 https://t.co/OqLkiGmzQO","[{'text': 'Biden', 'indices': [99, 105]}, {'text': 'Trump', 'indices': [106, 112]}, {'text': 'election', 'indices': [113, 122]}, {'text': 'Election2020', 'indices': [123, 136]}]"
